A1,A2,a1,a2,changetype
2,2,0.3333333333333333,0.5,technical change favoring labor
2,2,0.3333333333333333,0.6666666666666666,technical change favoring labor
2,2,0.5,0.3333333333333333,technical change favoring capital
2,2,0.5,0.6666666666666666,technical change favoring labor
2,2,0.6666666666666666,0.3333333333333333,technical change favoring capital
2,2,0.6666666666666666,0.5,technical change favoring capital
2,4,0.3333333333333333,0.3333333333333333,increase in total factor productivity
2,4,0.5,0.5,increase in total factor productivity
2,4,0.6666666666666666,0.6666666666666666,increase in total factor productivity
2,6,0.3333333333333333,0.3333333333333333,increase in total factor productivity
2,6,0.5,0.5,increase in total factor productivity
2,6,0.6666666666666666,0.6666666666666666,increase in total factor productivity
4,2,0.3333333333333333,0.3333333333333333,decrease in total factor productivity
4,2,0.5,0.5,decrease in total factor productivity
4,2,0.6666666666666666,0.6666666666666666,decrease in total factor productivity
4,4,0.3333333333333333,0.5,technical change favoring labor
4,4,0.3333333333333333,0.6666666666666666,technical change favoring labor
4,4,0.5,0.3333333333333333,technical change favoring capital
4,4,0.5,0.6666666666666666,technical change favoring labor
4,4,0.6666666666666666,0.3333333333333333,technical change favoring capital
4,4,0.6666666666666666,0.5,technical change favoring capital
4,6,0.3333333333333333,0.3333333333333333,increase in total factor productivity
4,6,0.5,0.5,increase in total factor productivity
4,6,0.6666666666666666,0.6666666666666666,increase in total factor productivity
6,2,0.3333333333333333,0.3333333333333333,decrease in total factor productivity
6,2,0.5,0.5,decrease in total factor productivity
6,2,0.6666666666666666,0.6666666666666666,decrease in total factor productivity
6,4,0.3333333333333333,0.3333333333333333,decrease in total factor productivity
6,4,0.5,0.5,decrease in total factor productivity
6,4,0.6666666666666666,0.6666666666666666,decrease in total factor productivity
6,6,0.3333333333333333,0.5,technical change favoring labor
6,6,0.3333333333333333,0.6666666666666666,technical change favoring labor
6,6,0.5,0.3333333333333333,technical change favoring capital
6,6,0.5,0.6666666666666666,technical change favoring labor
6,6,0.6666666666666666,0.3333333333333333,technical change favoring capital
6,6,0.6666666666666666,0.5,technical change favoring capital
