d,k,w,L,U
0.25,1.3333333333333333,1,27.000000000000025,6.7500000000000036
0.25,1.5,1,7.111111111111111,2.3703703703703702
0.25,1.5,2,28.444444444444443,18.962962962962962
0.25,2.0,1,2.0,1.0
0.25,2.0,2,4.0,4.0
0.25,2.0,3,6.0,9.0
0.25,2.0,4,8.0,16.0
0.25,2.0,5,10.0,25.0
0.25,2.0,6,12.0,36.0
0.25,2.0,7,14.0,49.0
0.25,2.0,8,16.0,64.0
0.3333333333333333,1.3333333333333333,1,11.390625000000009,2.8476562500000018
0.3333333333333333,1.5,1,4.0,1.3333333333333335
0.3333333333333333,1.5,2,16.0,10.666666666666668
0.3333333333333333,1.5,3,36.0,36.0
0.3333333333333333,2.0,1,1.5,0.75
0.3333333333333333,2.0,2,3.0,3.0
0.3333333333333333,2.0,3,4.5,6.75
0.3333333333333333,2.0,4,6.0,12.0
0.3333333333333333,2.0,5,7.5,18.75
0.3333333333333333,2.0,6,9.0,27.0
0.3333333333333333,2.0,7,10.5,36.75
0.3333333333333333,2.0,8,12.0,48.0
0.5,1.3333333333333333,1,3.3750000000000013,0.8437500000000004
0.5,1.3333333333333333,2,27.00000000000003,13.500000000000007
0.5,1.5,1,1.7777777777777777,0.5925925925925926
0.5,1.5,2,7.111111111111111,4.7407407407407405
0.5,1.5,3,16.0,16.0
0.5,1.5,4,28.444444444444443,37.925925925925924
0.5,1.5,5,44.44444444444444,74.07407407407408
0.5,2.0,1,1.0,0.5
0.5,2.0,2,2.0,2.0
0.5,2.0,3,3.0,4.5
0.5,2.0,4,4.0,8.0
0.5,2.0,5,5.0,12.5
0.5,2.0,6,6.0,18.0
0.5,2.0,7,7.0,24.5
0.5,2.0,8,8.0,32.0
0.6666666666666666,1.3333333333333333,1,1.4238281250000002,0.3559570312500002
0.6666666666666666,1.3333333333333333,2,11.390625000000009,5.6953125000000036
0.6666666666666666,1.3333333333333333,3,38.44335937500004,28.832519531250014
0.6666666666666666,1.5,1,1.0,0.33333333333333337
0.6666666666666666,1.5,2,4.0,2.666666666666667
0.6666666666666666,1.5,3,9.0,9.0
0.6666666666666666,1.5,4,16.0,21.333333333333336
0.6666666666666666,1.5,5,25.0,41.66666666666667
0.6666666666666666,1.5,6,36.0,72.0
0.6666666666666666,1.5,7,49.0,114.33333333333334
0.6666666666666666,2.0,2,1.5,1.5
0.6666666666666666,2.0,3,2.25,3.375
0.6666666666666666,2.0,4,3.0,6.0
0.6666666666666666,2.0,5,3.75,9.375
0.6666666666666666,2.0,6,4.5,13.5
0.6666666666666666,2.0,7,5.25,18.375
0.6666666666666666,2.0,8,6.0,24.0
0.75,1.3333333333333333,1,1.0,0.25
0.75,1.3333333333333333,2,8.000000000000005,4.0000000000000036
0.75,1.3333333333333333,3,27.000000000000025,20.250000000000007
0.75,1.5,2,3.1604938271604937,2.1069958847736627
0.75,1.5,3,7.111111111111111,7.111111111111111
0.75,1.5,4,12.641975308641975,16.855967078189302
0.75,1.5,5,19.753086419753085,32.92181069958848
0.75,1.5,6,28.444444444444443,56.888888888888886
0.75,1.5,7,38.71604938271605,90.33744855967078
0.75,2.0,2,1.3333333333333333,1.3333333333333333
0.75,2.0,3,2.0,3.0
0.75,2.0,4,2.6666666666666665,5.333333333333333
0.75,2.0,5,3.333333333333333,8.333333333333332
0.75,2.0,6,4.0,12.0
0.75,2.0,7,4.666666666666666,16.333333333333336
0.75,2.0,8,5.333333333333333,21.333333333333332
1.0,1.3333333333333333,2,3.3750000000000013,1.6875000000000009
1.0,1.3333333333333333,3,11.390625000000007,8.542968750000004
1.0,1.3333333333333333,4,27.00000000000003,27.000000000000014
1.0,1.5,2,1.7777777777777777,1.1851851851851851
1.0,1.5,3,4.0,4.0
1.0,1.5,4,7.111111111111111,9.481481481481481
1.0,1.5,5,11.11111111111111,18.51851851851852
1.0,1.5,6,16.0,32.0
1.0,1.5,7,21.777777777777775,50.814814814814824
1.0,1.5,8,28.444444444444443,75.85185185185185
1.0,2.0,2,1.0,1.0
1.0,2.0,3,1.5,2.25
1.0,2.0,4,2.0,4.0
1.0,2.0,5,2.5,6.25
1.0,2.0,6,3.0,9.0
1.0,2.0,7,3.5,12.25
1.0,2.0,8,4.0,16.0
1.5,1.3333333333333333,2,1.0,0.5
1.5,1.3333333333333333,3,3.375000000000001,2.5312500000000018
1.5,1.3333333333333333,4,8.000000000000005,8.000000000000007
1.5,1.3333333333333333,5,15.625000000000012,19.53125
1.5,1.3333333333333333,6,27.000000000000025,40.500000000000014
1.5,1.3333333333333333,7,42.87500000000004,75.03125000000003
1.5,1.5,3,1.7777777777777777,1.7777777777777777
1.5,1.5,4,3.1604938271604937,4.2139917695473255
1.5,1.5,5,4.938271604938271,8.23045267489712
1.5,1.5,6,7.111111111111111,14.222222222222221
1.5,1.5,7,9.679012345679013,22.584362139917694
1.5,1.5,8,12.641975308641975,33.711934156378604
1.5,2.0,3,1.0,1.5
1.5,2.0,4,1.3333333333333333,2.6666666666666665
1.5,2.0,5,1.6666666666666665,4.166666666666666
1.5,2.0,6,2.0,6.0
1.5,2.0,7,2.333333333333333,8.166666666666668
1.5,2.0,8,2.6666666666666665,10.666666666666666
